user_id,created_at,email,full_name,password_hash,username,role_id
1,2025-02-11 13:49:46.021413,user1@example.com,User Fullname 1,hash123,user1,3
2,2025-03-17 13:49:46.021437,user2@example.com,User Fullname 2,hash123,user2,1
3,2025-02-13 13:49:46.021442,user3@example.com,User Fullname 3,hash123,user3,3
4,2025-01-29 13:49:46.021446,user4@example.com,User Fullname 4,hash123,user4,3
5,2025-02-20 13:49:46.021450,user5@example.com,User Fullname 5,hash123,user5,1
6,2025-04-23 13:49:46.021453,user6@example.com,User Fullname 6,hash123,user6,1
7,2025-04-08 13:49:46.021455,user7@example.com,User Fullname 7,hash123,user7,3
8,2025-04-02 13:49:46.021458,user8@example.com,User Fullname 8,hash123,user8,2
9,2025-01-23 13:49:46.021467,user9@example.com,User Fullname 9,hash123,user9,3
10,2025-04-19 13:49:46.021471,user10@example.com,User Fullname 10,hash123,user10,3
